['杨浦', '普陀连亮路111弄杨浦定海路街道']
['', '姚圩镇刘家村']
['通道', '步行经鞍山道步行街']
['海珠', '琶洲街道保利天悦']
['石龙', '石碣镇石龙镇甲镇']
['', '双骏公园']
['锦江', '凯德MALL商场一楼Nike店、Adidas店']
['辛集', '皮革城']
['', '华洲街土华村山北岗']
['', '海东路海东公馆']
['', '鑫竹苑']
['', '福新村']
['', '民众镇多宝村']
['开平', '祥龙中路澳味餐馆']
['', '松岗街道红星村温屋']
['东源', '京顺大药房益春堂店（东源新村']
['西夏', '澳海澜庭店']
['乐昌', '乐城街道长迳村']
['', '长缨西路82号']
['路北', '人民东路路北铁板鴨店']
['', '嘉利明珠城']
['', '新雅街道']
['', '九龙镇万科幸福誉长岭街道萝岗岗和苑']
['东平', '平海镇']
['', '徐州邳州碾庄镇衡集村']
['东城', '东城街道']
['凤阳', '凤阳街道']
['', '重庆欧瑞锦江酒店']
['黄梅', '湖北黄梅']
['城区', '龙塘镇银盏嘉福工业园']
['滨海', '梅州峯庆']
['', '中海花湾']
['', '汉庭酒店（时代华城店']
['高陵', '布海北州']
['江口', '曙光路31号']
['', '江高镇大田村海口直街']
['', '西北商贸中心']
['', '悦康药店']
['红旗', '横琴富祥湾深井村海马']
['中和', '西镇南伙房村']
['', '汉庭酒店12楼早餐厅']
['中山', '越塘望楼村166号沙坪伊']
['渝水', '城南街道三叠园听雨楼1幢3单元']
['', '新玛特一楼']
['', '京顺大药店许氏店']
['', '东凤镇细滘大桥']
['', '丹东新安东阁宾馆']
['', '阜沙小榄古镇']
['开平', '花园酒店']
['', '甘城子十字路口东南的达美堂医药林园堂']
['乌兰', '华茂名居']
['莲花', '莲花三村葫芦岛大药房']
['', '华林街福安街']
['', '淘沙镇埠下村']
['东源', '京顺大药店志兴堂店（交警队)']
['', '李宁店']
['', '丽宫酒店']
['海南', '赫本造型（凤山街道办北川河东路中央公园南门附近）']
['新港', '赤岗街新港中路影城花园']
['红旗', '红旗镇格林豪泰酒店']
['惠阳', '惠阳区淡水街道']
['', '河洲道柳湖花园']
['东风', '梅花村街']
['', '湖北广水小诊室']
['龙湾', '云天高埗镇颐龙湾常平镇万科城']
['', '绿地崴廉公寓']
['官田', '水口镇光夏村']
['银海', '唐家湾镇中海银海湾']
['', '李营街道任兴家园']
['商城', '银川商城']
['铁西', '中街新玛特商场']
['', '南村镇雅居乐']
['', '大沙街丰乐北路君和名城']
