,省份,城市,行政区,具体位置,数据来源,网址
0,广东省,深圳,南山区,白石洲东四坊,南方都市报,https://mp.weixin.qq.com/s/N76fZ6R4zeiB6Zqa3TYaxg
1,广东省,深圳,南山区,登良花园,南方都市报,https://mp.weixin.qq.com/s/N76fZ6R4zeiB6Zqa3TYaxg
2,广东省,深圳,福田区,福滨新村,南方都市报,https://mp.weixin.qq.com/s/N76fZ6R4zeiB6Zqa3TYaxg
3,广东省,深圳,福田区,福祥街2号1栋,南方都市报,https://mp.weixin.qq.com/s/N76fZ6R4zeiB6Zqa3TYaxg
4,广东省,深圳,福田区,梅林街道兰江山第,南方都市报,https://mp.weixin.qq.com/s/N76fZ6R4zeiB6Zqa3TYaxg
5,广东省,深圳,福田区,益田村,南方都市报,https://mp.weixin.qq.com/s/N76fZ6R4zeiB6Zqa3TYaxg
6,广东省,深圳,福田区,景田北景龙大厦,南方都市报,https://mp.weixin.qq.com/s/N76fZ6R4zeiB6Zqa3TYaxg
7,广东省,深圳,福田区,新世界伟瑞酒店,南方都市报,https://mp.weixin.qq.com/s/N76fZ6R4zeiB6Zqa3TYaxg
8,广东省,深圳,龙岗区,桂芳园八期,南方都市报,https://mp.weixin.qq.com/s/N76fZ6R4zeiB6Zqa3TYaxg
9,广东省,深圳,龙岗区,中骏四季阳光一期,南方都市报,https://mp.weixin.qq.com/s/N76fZ6R4zeiB6Zqa3TYaxg
10,广东省,深圳,龙岗区,平湖山厦社区梨头廖,南方都市报,https://mp.weixin.qq.com/s/N76fZ6R4zeiB6Zqa3TYaxg
11,广东省,深圳,龙岗区,招商依山郡,南方都市报,https://mp.weixin.qq.com/s/N76fZ6R4zeiB6Zqa3TYaxg
12,广东省,深圳,龙华区,观澜街道库坑中心区,南方都市报,https://mp.weixin.qq.com/s/N76fZ6R4zeiB6Zqa3TYaxg
13,广东省,深圳,罗湖区,翠华花园,南方都市报,https://mp.weixin.qq.com/s/N76fZ6R4zeiB6Zqa3TYaxg
14,广东省,深圳,罗湖区,泥岗西路自来水公司大院,南方都市报,https://mp.weixin.qq.com/s/N76fZ6R4zeiB6Zqa3TYaxg
15,广东省,深圳,罗湖区,合正荣悦府,南方都市报,https://mp.weixin.qq.com/s/N76fZ6R4zeiB6Zqa3TYaxg
16,广东省,深圳,罗湖区,梧桐山社区赤水洞村,南方都市报,https://mp.weixin.qq.com/s/N76fZ6R4zeiB6Zqa3TYaxg
17,广东省,深圳,罗湖区,百仕达花园5期,南方都市报,https://mp.weixin.qq.com/s/N76fZ6R4zeiB6Zqa3TYaxg
18,广东省,深圳,罗湖区,大望社区新田村,南方都市报,https://mp.weixin.qq.com/s/N76fZ6R4zeiB6Zqa3TYaxg
19,广东省,广州,天河区,兴华街道粤垦路金燕花苑,南方都市报,https://mp.weixin.qq.com/s/N76fZ6R4zeiB6Zqa3TYaxg
20,广东省,广州,增城区,新塘镇大墩村,南方都市报,https://mp.weixin.qq.com/s/N76fZ6R4zeiB6Zqa3TYaxg
21,广东省,佛山,禅城区,祖庙街道同华西二路,南方都市报,https://mp.weixin.qq.com/s/N76fZ6R4zeiB6Zqa3TYaxg
22,广东省,中山,三角镇,三角镇乌沙村,南方都市报,https://mp.weixin.qq.com/s/N76fZ6R4zeiB6Zqa3TYaxg
23,广东省,中山,板芙镇,雅芙花园,南方都市报,https://mp.weixin.qq.com/s/N76fZ6R4zeiB6Zqa3TYaxg
24,广东省,中山,东区,星光礼寓,南方都市报,https://mp.weixin.qq.com/s/N76fZ6R4zeiB6Zqa3TYaxg
25,广东省,广州,番禺区,桥南街道陈涌村,截至2020年2月3日24时广州市新型冠状病毒感染的肺炎疫情情况,http://www.gz.gov.cn/zt/qlyfdyyqfkyz/qktb/content/mpost_5650490.html
26,广东省,广州,南沙区,黄阁镇璧珑湾,截至2020年2月3日24时广州市新型冠状病毒感染的肺炎疫情情况,http://www.gz.gov.cn/zt/qlyfdyyqfkyz/qktb/content/mpost_5650490.html
