,url,省,市,区,地点
0,https://mp.weixin.qq.com/s/HTsNM1zxEAx3IqoF1uYnYA,广东省,肇庆,封开县,开县江口镇东方二路115号
1,https://mp.weixin.qq.com/s/HTsNM1zxEAx3IqoF1uYnYA,广东省,肇庆,封开县,井根农贸市场
2,https://mp.weixin.qq.com/s/HTsNM1zxEAx3IqoF1uYnYA,广东省,肇庆,封开县,江口镇东堤路25号
3,https://mp.weixin.qq.com/s/HTsNM1zxEAx3IqoF1uYnYA,广东省,肇庆,封开县,杏花宾馆宿舍
4,https://mp.weixin.qq.com/s/HTsNM1zxEAx3IqoF1uYnYA,广东省,肇庆,封开县,封开县江口镇河堤二路22号
5,https://mp.weixin.qq.com/s/HTsNM1zxEAx3IqoF1uYnYA,广东省,肇庆,封开县,江口镇蝴蝶塘路
6,https://mp.weixin.qq.com/s/HTsNM1zxEAx3IqoF1uYnYA,广东省,肇庆,封开县,好又多超市
7,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml,江西省,南昌,进贤县,文港镇新坪村
8,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml,江西省,南昌,进贤县,文港镇晏殊大道
9,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml,江西省,南昌,进贤县,民和镇世纪新城
10,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml,江西省,南昌,南昌县,莲塘镇莲西大道无伦华庭小区
11,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml,江西省,南昌,南昌县,幽兰镇黄坊村
12,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml,江西省,南昌,南昌县,泾口乡小莲村
13,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml,江西省,南昌,南昌县,塘南镇渡口村
14,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml,江西省,南昌,南昌县,塘南镇张溪村
15,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml,江西省,南昌,南昌县,莲塘镇府前路
16,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml,江西省,南昌,南昌县,银三角管委会良种场付林村
17,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml,江西省,南昌,南昌县,塘南镇塘南街
18,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml,江西省,南昌,南昌县,县银三角管委会良种场付林村
19,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml,江西省,南昌,西湖区,桃源街道桃花路洪城财满街
20,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml,江西省,南昌,西湖区,桃花镇三角村
21,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml,江西省,南昌,西湖区,桃花镇三小村
22,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml,江西省,南昌,西湖区,朝阳洲街道抚生路镇金国际村
23,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml,江西省,南昌,西湖区,绳金塔街道八一大道永叔路
24,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml,江西省,南昌,西湖区,桃源街道桃苑大街公安小区
25,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml,江西省,南昌,西湖区,南浦街道濠上街
26,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml,江西省,南昌,西湖区,桃源街道桃花路
27,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml,江西省,南昌,西湖区,桃花镇桃欣嘉苑
28,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml,江西省,南昌,西湖区,桃花镇郭家庄
29,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml,江西省,南昌,西湖区,朝阳洲街道滨江壹号
30,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml,江西省,南昌,西湖区,南站街道解放西路
31,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml,江西省,南昌,国家高新技术产业开发区,麻丘镇瑶湖豪宅
32,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml,江西省,南昌,国家高新技术产业开发区,麻丘镇厚溪
33,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml,江西省,南昌,国家高新技术产业开发区,麻丘镇长江村
34,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml,江西省,南昌,国家高新技术产业开发区,昌东镇尤口街
35,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml,江西省,南昌,国家高新技术产业开发区,昌东镇三联村
36,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml,江西省,南昌,国家高新技术产业开发区,麻丘镇广安村
37,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml,江西省,南昌,国家高新技术产业开发区,麻丘镇麻丘街瑶湖花园
38,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml,江西省,南昌,国家高新技术产业开发区,昌东镇光明村
39,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml,江西省,南昌,国家高新技术产业开发区,麻丘镇文教路
40,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml,江西省,南昌,青云谱区,青云谱镇上海南路墅溪公寓
