,省份,城市,行政区,具体位置,数据来源,网址
0,广东省,肇庆,封开县,开县江口镇东方二路115号,健康肇庆,https://mp.weixin.qq.com/s/HTsNM1zxEAx3IqoF1uYnYA
1,广东省,肇庆,封开县,井根农贸市场,健康肇庆,https://mp.weixin.qq.com/s/HTsNM1zxEAx3IqoF1uYnYA
2,广东省,肇庆,封开县,江口镇东堤路25号,健康肇庆,https://mp.weixin.qq.com/s/HTsNM1zxEAx3IqoF1uYnYA
3,广东省,肇庆,封开县,杏花宾馆宿舍,健康肇庆,https://mp.weixin.qq.com/s/HTsNM1zxEAx3IqoF1uYnYA
4,广东省,肇庆,封开县,封开县江口镇河堤二路22号,健康肇庆,https://mp.weixin.qq.com/s/HTsNM1zxEAx3IqoF1uYnYA
5,广东省,肇庆,封开县,江口镇蝴蝶塘路,健康肇庆,https://mp.weixin.qq.com/s/HTsNM1zxEAx3IqoF1uYnYA
6,广东省,肇庆,封开县,好又多超市,健康肇庆,https://mp.weixin.qq.com/s/HTsNM1zxEAx3IqoF1uYnYA
7,江西省,南昌,进贤县,文港镇新坪村,南昌市卫生健康委员会,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml
8,江西省,南昌,进贤县,文港镇晏殊大道,南昌市卫生健康委员会,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml
9,江西省,南昌,进贤县,民和镇世纪新城,南昌市卫生健康委员会,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml
10,江西省,南昌,南昌县,莲塘镇莲西大道无伦华庭小区,南昌市卫生健康委员会,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml
11,江西省,南昌,南昌县,幽兰镇黄坊村,南昌市卫生健康委员会,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml
12,江西省,南昌,南昌县,泾口乡小莲村,南昌市卫生健康委员会,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml
13,江西省,南昌,南昌县,塘南镇渡口村,南昌市卫生健康委员会,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml
14,江西省,南昌,南昌县,塘南镇张溪村,南昌市卫生健康委员会,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml
15,江西省,南昌,南昌县,莲塘镇府前路,南昌市卫生健康委员会,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml
16,江西省,南昌,南昌县,银三角管委会良种场付林村,南昌市卫生健康委员会,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml
17,江西省,南昌,南昌县,塘南镇塘南街,南昌市卫生健康委员会,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml
18,江西省,南昌,南昌县,县银三角管委会良种场付林村,南昌市卫生健康委员会,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml
19,江西省,南昌,西湖区,桃源街道桃花路洪城财满街,南昌市卫生健康委员会,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml
20,江西省,南昌,西湖区,桃花镇三角村,南昌市卫生健康委员会,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml
21,江西省,南昌,西湖区,桃花镇三小村,南昌市卫生健康委员会,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml
22,江西省,南昌,西湖区,朝阳洲街道抚生路镇金国际村,南昌市卫生健康委员会,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml
23,江西省,南昌,西湖区,绳金塔街道八一大道永叔路,南昌市卫生健康委员会,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml
24,江西省,南昌,西湖区,桃源街道桃苑大街公安小区,南昌市卫生健康委员会,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml
25,江西省,南昌,西湖区,南浦街道濠上街,南昌市卫生健康委员会,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml
26,江西省,南昌,西湖区,桃源街道桃花路,南昌市卫生健康委员会,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml
27,江西省,南昌,西湖区,桃花镇桃欣嘉苑,南昌市卫生健康委员会,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml
28,江西省,南昌,西湖区,桃花镇郭家庄,南昌市卫生健康委员会,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml
29,江西省,南昌,西湖区,朝阳洲街道滨江壹号,南昌市卫生健康委员会,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml
30,江西省,南昌,西湖区,南站街道解放西路,南昌市卫生健康委员会,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml
31,江西省,南昌,国家高新技术产业开发区,麻丘镇瑶湖豪宅,南昌市卫生健康委员会,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml
32,江西省,南昌,国家高新技术产业开发区,麻丘镇厚溪,南昌市卫生健康委员会,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml
33,江西省,南昌,国家高新技术产业开发区,麻丘镇长江村,南昌市卫生健康委员会,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml
34,江西省,南昌,国家高新技术产业开发区,昌东镇尤口街,南昌市卫生健康委员会,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml
35,江西省,南昌,国家高新技术产业开发区,昌东镇三联村,南昌市卫生健康委员会,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml
36,江西省,南昌,国家高新技术产业开发区,麻丘镇广安村,南昌市卫生健康委员会,http://hc.nc.gov.cn/ncwjw/gzdt/202002/b5cf89720dbf4968850892328059db4c.shtml
